param K: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 :=
1	171.0	46.0	9.0	2.0	5.0	314.0	7.0	28.0	1.0	16.0	64.0	23.0	30.0	268.0	6.0	36.0	30.0	8.0	126.0
2	203.0	308.0	52.0	5.0	7.0	2291.0	11.0	107.0	1.0	147.0	233.0	294.0	149.0	701.0	13.0	297.0	106.0	108.0	285.0
3	11.0	19.0	31.0	1.0	1.0	92.0	4.0	12.0	1.0	2.0	6.0	1.0	1.0	198.0	1.0	3.0	1.0	3.0	23.0
4	210.0	394.0	124.0	5.0	6.0	745.0	16.0	121.0	1.0	161.0	227.0	306.0	205.0	652.0	33.0	409.0	142.0	73.0	387.0
5	57.0	91.0	7.0	1.0	2.0	386.0	1.0	40.0	1.0	14.0	68.0	25.0	16.0	219.0	1.0	57.0	22.0	8.0	48.0
6	268.0	249.0	9.0	26.0	7.0	2232.0	57.0	81.0	1.0	127.0	438.0	222.0	107.0	573.0	20.0	235.0	83.0	69.0	164.0
7	4.0	4.0	1.0	1.0	1.0	32.0	1.0	3.0	1.0	2.0	2.0	2.0	1.0	17.0	1.0	2.0	2.0	1.0	4.0
8	110.0	57.0	3.0	4.0	2.0	682.0	17.0	16.0	1.0	35.0	115.0	78.0	31.0	102.0	4.0	71.0	17.0	21.0	26.0
9	9.0	29.0	1.0	1.0	1.0	147.0	2.0	21.0	1.0	12.0	9.0	18.0	7.0	116.0	13.0	18.0	12.0	8.0	8.0
10	526.0	181.0	33.0	11.0	15.0	1317.0	19.0	82.0	1.0	139.0	154.0	229.0	59.0	720.0	7.0	200.0	101.0	43.0	216.0
11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
12	4.0	9.0	1.0	1.0	1.0	74.0	1.0	8.0	1.0	10.0	6.0	7.0	5.0	9.0	1.0	9.0	13.0	2.0	13.0
13	1.0	5.0	1.0	1.0	1.0	46.0	1.0	4.0	1.0	3.0	2.0	3.0	2.0	22.0	5.0	4.0	1.0	1.0	1.0
14	157.0	40.0	4.0	3.0	5.0	259.0	5.0	14.0	1.0	36.0	32.0	66.0	12.0	159.0	1.0	38.0	18.0	9.0	89.0
15	11.0	21.0	3.0	1.0	1.0	84.0	2.0	24.0	1.0	7.0	35.0	10.0	3.0	81.0	3.0	15.0	14.0	3.0	12.0
16	174.0	161.0	5.0	8.0	6.0	1718.0	23.0	55.0	1.0	71.0	203.0	176.0	48.0	1093.0	3.0	158.0	76.0	63.0	115.0
17	5.0	6.0	1.0	1.0	1.0	21.0	1.0	8.0	1.0	2.0	8.0	3.0	1.0	13.0	1.0	5.0	1.0	1.0	2.0
18	136.0	51.0	3.0	2.0	3.0	405.0	6.0	16.0	1.0	20.0	44.0	40.0	15.0	299.0	1.0	50.0	29.0	16.0	35.0
19	16.0	12.0	1.0	1.0	1.0	138.0	1.0	7.0	1.0	5.0	6.0	9.0	4.0	124.0	1.0	14.0	5.0	4.0	12.0
20	139.0	124.0	5.0	16.0	2.0	1923.0	61.0	43.0	1.0	67.0	311.0	175.0	63.0	226.0	15.0	158.0	53.0	46.0	109.0
21	1.0	3.0	1.0	1.0	1.0	24.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	48.0	1.0	4.0	1.0	1.0	2.0
22	3.0	18.0	1.0	3.0	1.0	138.0	6.0	4.0	1.0	7.0	32.0	15.0	5.0	99.0	5.0	23.0	3.0	2.0	6.0
23	23.0	128.0	6.0	1.0	2.0	390.0	1.0	39.0	1.0	36.0	60.0	35.0	24.0	279.0	1.0	99.0	30.0	12.0	37.0
24	3.0	11.0	1.0	1.0	1.0	50.0	1.0	11.0	1.0	3.0	40.0	3.0	1.0	288.0	1.0	4.0	5.0	3.0	43.0
25	495.0	215.0	6.0	18.0	15.0	1969.0	38.0	100.0	1.0	168.0	223.0	296.0	75.0	1097.0	10.0	214.0	126.0	63.0	353.0
26	60.0	67.0	2.0	4.0	4.0	308.0	8.0	50.0	1.0	73.0	61.0	89.0	22.0	148.0	9.0	58.0	18.0	15.0	279.0
27	601.0	280.0	32.0	18.0	17.0	1570.0	29.0	169.0	1.0	290.0	307.0	438.0	93.0	800.0	7.0	304.0	99.0	65.0	1082.0
28	3.0	18.0	1.0	1.0	1.0	116.0	1.0	21.0	1.0	12.0	13.0	9.0	5.0	67.0	7.0	14.0	7.0	4.0	7.0
29	451.0	194.0	16.0	12.0	11.0	1132.0	17.0	90.0	1.0	177.0	200.0	286.0	57.0	699.0	5.0	205.0	56.0	44.0	593.0
30	8.0	24.0	10.0	1.0	1.0	717.0	2.0	23.0	1.0	8.0	32.0	11.0	8.0	156.0	13.0	23.0	8.0	5.0	41.0
31	65.0	164.0	44.0	3.0	3.0	446.0	8.0	82.0	1.0	54.0	100.0	86.0	59.0	233.0	22.0	123.0	54.0	42.0	116.0
32	1.0	7.0	5.0	1.0	1.0	740.0	1.0	14.0	1.0	2.0	35.0	2.0	2.0	132.0	18.0	3.0	3.0	1.0	33.0
33	63.0	149.0	35.0	2.0	2.0	326.0	7.0	53.0	1.0	49.0	96.0	92.0	63.0	159.0	18.0	126.0	43.0	39.0	51.0
34	1.0	39.0	1.0	1.0	1.0	156.0	1.0	17.0	1.0	6.0	76.0	20.0	9.0	129.0	1.0	29.0	23.0	7.0	86.0
35	27.0	183.0	11.0	8.0	3.0	779.0	16.0	63.0	1.0	75.0	138.0	84.0	58.0	147.0	26.0	154.0	47.0	21.0	42.0
36	69.0	101.0	1.0	1.0	3.0	716.0	1.0	25.0	1.0	31.0	96.0	59.0	39.0	256.0	2.0	75.0	24.0	20.0	47.0
37	84.0	34.0	10.0	2.0	2.0	179.0	5.0	15.0	1.0	19.0	71.0	21.0	36.0	89.0	1.0	41.0	28.0	7.0	58.0
38	42.0	220.0	228.0	59.0	12.0	1944.0	101.0	125.0	1.0	134.0	911.0	141.0	75.0	817.0	226.0	378.0	97.0	21.0	233.0
39	9.0	34.0	1.0	4.0	1.0	140.0	2.0	9.0	1.0	16.0	58.0	8.0	6.0	241.0	6.0	29.0	13.0	3.0	17.0
40	2.0	4.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	3.0	10.0	2.0	1.0	8.0	2.0	6.0	2.0	1.0	2.0
41	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0
42	51.0	140.0	72.0	1.0	3.0	295.0	8.0	45.0	1.0	62.0	122.0	119.0	80.0	337.0	10.0	147.0	48.0	31.0	255.0
